,GAMEID,TEAM_HOME,TEAM_AWAY,TEAM_ELO_BEFORE_HOME,TEAM_ELO_BEFORE_AWAY,TEAM_ELO_AFTER_HOME,TEAM_ELO_AFTER_AWAY,ODDS_HOME,PROBS_HOME,PROBS_AWAY
84,201311090TOR,TOR,UTA,1488.9694143864847,1446.3608470346635,1500.3300135707682,1435.00024785038,2.170308235412497,0.6845732573161336,0.31542674268386633
85,201311090ATL,ATL,ORL,1499.910197032942,1512.4251488823138,1508.0355035126845,1504.2998424025714,1.5802020481971208,0.6124334523729505,0.38756654762704945
86,201311090BRK,BRK,IND,1491.13887047333,1550.2299614515011,1483.7845641000013,1557.5842678248298,1.2085712881210329,0.5472185999254019,0.4527814000745982
87,201311090CLE,CLE,PHI,1477.436205239163,1491.0082689748056,1481.2367761610917,1487.2076980528768,1.5706153610659,0.6109880866870132,0.38901191331298673
88,201311090MIA,MIA,BOS,1525.208152423752,1485.112872147707,1519.5169534414213,1490.8040711300378,2.1391350349386022,0.6814409100373221,0.31855908996267784
89,201311090HOU,HOU,LAC,1526.975218064761,1512.72822667526,1510.90491974641,1528.798524993611,1.8433910665271716,0.6483072582691313,0.35169274173086873
90,201311090MEM,MEM,GSW,1477.964810211394,1547.345848180032,1493.0420218899585,1532.2686365014674,1.1390621085340051,0.5325053928960741,0.4674946071039259
91,201311090MIL,MIL,DAL,1498.817414531437,1502.64904225005,1487.516913279279,1513.949543502208,1.6611962065664472,0.6242291351789393,0.37577086482106076
92,201311090SAC,SAC,POR,1466.9370550438432,1507.2823812957959,1454.6956483660865,1519.5237879735525,1.3462839998395992,0.5737941357191356,0.4262058642808645
93,201311100NYK,NYK,SAS,1495.8160549036963,1526.256771113013,1470.1215714175125,1551.9512545991968,1.4252734969364327,0.5876753688756405,0.41232463112435946
94,201311100OKC,OKC,WAS,1524.059327807281,1496.6688226893034,1526.7065026014466,1494.021647895138,1.9882741344576749,0.6653586802934048,0.3346413197065953
95,201311100PHO,PHO,NOP,1518.2957538999558,1508.275307819668,1524.2590370441515,1502.3120246754722,1.7990826494773524,0.6427400955142496,0.3572599044857503
96,201311100LAL,LAL,MIN,1474.2210195844066,1516.872964683981,1454.2837895284274,1536.8101947399603,1.3285262417705401,0.5705438134810837,0.42945618651891615
97,201311110CHA,CHA,ATL,1482.5440833816642,1508.0355035126845,1471.2006939208748,1519.378892973474,1.4664641474036235,0.5945613071032589,0.40543869289674106
98,201311110IND,IND,MEM,1557.5842678248298,1493.0420218899585,1565.3063063496695,1485.3199833651188,2.4623830604234778,0.7111815814285748,0.28881841857142515
99,201311110PHI,PHI,SAS,1487.2076980528768,1551.9512545991968,1468.1164548856648,1571.0424977664088,1.1698794402291122,0.5391449029562617,0.46085509704373834
100,201311110BOS,BOS,ORL,1490.8040711300378,1504.2998424025714,1501.390451656196,1493.713461876413,1.5713052871163058,0.611092465367467,0.3889075346325331
101,201311110CHI,CHI,CLE,1494.4206876448613,1481.2367761610917,1503.8290648256593,1471.8283989802937,1.8321447341958186,0.6469107005987997,0.3530892994012002
102,201311110HOU,HOU,TOR,1510.90491974641,1500.3300135707682,1516.3725222153728,1494.8624111018055,1.804834007023691,0.6434726627330308,0.35652733726696917
103,201311110UTA,UTA,DEN,1435.00024785038,1466.0355687159108,1416.8960314438668,1484.139785122424,1.4204033824717057,0.5868457269387864,0.4131542730612135
104,201311110POR,POR,DET,1519.5237879735525,1488.0337034570232,1524.4930395486513,1483.0644518819245,2.035753599180141,0.6705925012260324,0.3294074987739676
105,201311110LAC,LAC,MIN,1528.798524993611,1536.8101947399603,1532.5083553310096,1533.1003644025616,1.6217011535571382,0.6185682724962016,0.3814317275037983
106,201311120MIA,MIA,MIL,1519.5169534414213,1487.516913279279,1531.1006593239008,1475.9332073967994,2.041738416702808,0.6712406318344815,0.3287593681655186
107,201311120DAL,DAL,WAS,1513.949543502208,1494.021647895138,1520.9828179787187,1486.9883734186271,1.9046699896407626,0.6557268111123096,0.34427318888769043
108,201311120GSW,GSW,DET,1532.2686365014674,1483.0644518819245,1541.274389879895,1474.058698503497,2.2542935142876797,0.692713642574159,0.30728635742584093
109,201311120LAL,LAL,NOP,1454.2837895284274,1502.3120246754722,1469.6897871072422,1486.9060270966575,1.2880401836192301,0.5629447388383729,0.4370552611616272
110,201311130ORL,ORL,MIL,1493.713461876413,1475.9332073967994,1497.5397011688135,1472.106968104399,1.881267860972496,0.6529305679818063,0.3470694320181936
111,201311130PHI,PHI,HOU,1468.1164548856648,1516.3725222153728,1475.1523234457625,1509.336653655275,1.2863520165621787,0.5626220316223977,0.43737796837760234
112,201311130BOS,BOS,CHA,1501.390451656196,1471.2006939208748,1490.788992694137,1481.8021528829338,2.020572297123919,0.6689369094220442,0.33106309057795585
113,201311130ATL,ATL,NYK,1519.378892973474,1470.1215714175125,1510.256646813966,1479.2438175770205,2.2549831648482708,0.6927787489657833,0.30722125103421677
114,201311130MEM,MEM,TOR,1485.3199833651188,1494.8624111018055,1468.1174350959577,1512.0649593709666,1.6074739018309891,0.6164870531214935,0.3835129468785064
115,201311130MIN,MIN,CLE,1533.1003644025616,1471.8283989802937,1545.0053643292242,1459.923399053631,2.4164616856934704,0.7072995127714945,0.2927004872285055
