,GAMEID,TEAM,ELO,DATE,WHERE_PLAYED,SEASON,D_RTG,GAME_NO,OPP_SCORE,O_RTG,SCORE
103,201311050BRK,UTA,1476.321566611651,2013-11-05,Away,2014,111.7,4.0,104.0,94.5,88.0
104,201311050DET,DET,1510.7769820321353,2013-11-05,Home,2014,102.7,4.0,99.0,94.4,91.0
105,201311050DET,IND,1525.566749513718,2013-11-05,Away,2014,94.4,4.0,91.0,102.7,99.0
106,201311050NYK,NYK,1491.2809573786296,2013-11-05,Home,2014,110.6,4.0,102.0,105.1,97.0
107,201311050NYK,CHA,1483.4167380092024,2013-11-05,Away,2014,105.1,4.0,97.0,110.6,102.0
108,201311050NOP,NOP,1492.5682370984173,2013-11-05,Home,2014,109.4,4.0,104.0,103.1,98.0
109,201311050NOP,PHO,1506.2006592577482,2013-11-05,Away,2014,103.1,4.0,98.0,109.4,104.0
110,201311050DAL,DAL,1509.075750499565,2013-11-05,Home,2014,104.7,4.0,104.0,123.9,123.0
111,201311050DAL,LAL,1486.3402361317212,2013-11-05,Away,2014,123.9,5.0,123.0,104.7,104.0
112,201311050DEN,DEN,1479.1971826918611,2013-11-05,Home,2014,101.3,3.0,102.0,93.4,94.0
113,201311050DEN,SAS,1507.612092245657,2013-11-05,Away,2014,93.4,4.0,94.0,101.3,102.0
114,201311050POR,POR,1516.0864134448614,2013-11-05,Home,2014,118.3,4.0,116.0,103.0,101.0
115,201311050POR,HOU,1515.9720203163793,2013-11-05,Away,2014,103.0,5.0,101.0,118.3,116.0
116,201311050SAC,SAC,1483.6366810645902,2013-11-05,Home,2014,111.6,4.0,105.0,106.3,100.0
117,201311050SAC,ATL,1495.5288314757254,2013-11-05,Away,2014,106.3,4.0,100.0,111.6,105.0
118,201311060CHA,CHA,1492.4799790692234,2013-11-06,Home,2014,108.6,5.0,90.0,111.1,92.0
119,201311060CHA,TOR,1497.554157829239,2013-11-06,Away,2014,111.1,5.0,92.0,108.6,90.0
120,201311060IND,IND,1536.5017926823289,2013-11-06,Home,2014,90.2,5.0,80.0,109.4,97.0
121,201311060IND,CHI,1490.792544972345,2013-11-06,Away,2014,109.4,4.0,97.0,90.2,80.0
122,201311060ORL,ORL,1512.1236467255035,2013-11-06,Home,2014,91.4,5.0,90.0,99.6,98.0
123,201311060ORL,LAC,1525.0155931008146,2013-11-06,Away,2014,99.6,5.0,98.0,91.4,90.0
124,201311060PHI,PHI,1498.0252540893978,2013-11-06,Home,2014,113.6,5.0,116.0,99.9,102.0
125,201311060PHI,WAS,1474.5884186162648,2013-11-06,Away,2014,99.9,4.0,102.0,113.6,116.0
126,201311060BOS,BOS,1470.75107115134,2013-11-06,Home,2014,91.0,5.0,87.0,101.4,97.0
127,201311060BOS,UTA,1466.337693544612,2013-11-06,Away,2014,101.4,5.0,97.0,91.0,87.0
128,201311060MEM,MEM,1495.5257821754171,2013-11-06,Home,2014,116.7,5.0,99.0,99.0,84.0
129,201311060MEM,NOP,1483.2222316894365,2013-11-06,Away,2014,99.0,5.0,84.0,116.7,99.0
130,201311060MIL,MIL,1493.6170187390746,2013-11-06,Home,2014,118.3,4.0,104.0,124.0,109.0
131,201311060MIL,CLE,1492.9285782155907,2013-11-06,Away,2014,124.0,5.0,109.0,118.3,104.0
132,201311060MIN,MIN,1525.0755647721942,2013-11-06,Home,2014,100.7,5.0,106.0,88.4,93.0
133,201311060MIN,GSW,1536.5006629042773,2013-11-06,Away,2014,88.4,5.0,93.0,100.7,106.0
134,201311060SAS,SAS,1518.0963968318692,2013-11-06,Home,2014,96.4,5.0,96.0,99.4,99.0
135,201311060SAS,PHO,1515.546664666729,2013-11-06,Away,2014,99.4,5.0,99.0,96.4,96.0
136,201311060OKC,OKC,1501.9529162181184,2013-11-06,Home,2014,93.5,4.0,93.0,107.5,107.0
137,201311060OKC,DAL,1519.652849494227,2013-11-06,Away,2014,107.5,5.0,107.0,93.5,93.0
138,201311070MIA,MIA,1520.041253537889,2013-11-07,Home,2014,108.1,6.0,97.0,113.7,102.0
139,201311070MIA,LAC,1517.895125561123,2013-11-07,Away,2014,113.7,6.0,102.0,108.1,97.0
140,201311070DEN,DEN,1468.712878105649,2013-11-07,Home,2014,109.4,4.0,107.0,111.4,109.0
141,201311070DEN,ATL,1504.0793052836004,2013-11-07,Away,2014,111.4,5.0,109.0,109.4,107.0
142,201311070HOU,HOU,1532.9252046783167,2013-11-07,Home,2014,93.8,6.0,99.0,92.8,98.0
143,201311070HOU,LAL,1475.7631371370592,2013-11-07,Away,2014,92.8,6.0,98.0,93.8,99.0
144,201311080CHA,CHA,1496.142421966752,2013-11-08,Home,2014,112.5,6.0,101.0,101.4,91.0
145,201311080CHA,NYK,1482.2177163186086,2013-11-08,Away,2014,101.4,5.0,91.0,112.5,101.0
146,201311080IND,IND,1545.3076609062753,2013-11-08,Home,2014,97.3,6.0,84.0,105.4,91.0
147,201311080IND,TOR,1493.8917149317106,2013-11-08,Away,2014,105.4,6.0,91.0,97.3,84.0
148,201311080ORL,ORL,1519.244114265195,2013-11-08,Home,2014,94.9,6.0,91.0,92.8,89.0
149,201311080ORL,BOS,1478.2939067648258,2013-11-08,Away,2014,92.8,6.0,89.0,94.9,91.0
150,201311080PHI,PHI,1480.7162917907401,2013-11-08,Home,2014,89.7,6.0,79.0,106.7,94.0
151,201311080PHI,CLE,1487.7281824232284,2013-11-08,Away,2014,106.7,6.0,94.0,89.7,79.0
152,201311080WAS,WAS,1491.8973809149225,2013-11-08,Home,2014,101.1,5.0,108.0,104.8,112.0
153,201311080WAS,BRK,1495.9103122477109,2013-11-08,Away,2014,104.8,5.0,112.0,101.1,108.0
154,201311080DET,DET,1499.8419388635243,2013-11-08,Home,2014,124.7,5.0,119.0,115.2,110.0
155,201311080DET,OKC,1512.25109240078,2013-11-08,Away,2014,115.2,5.0,110.0,124.7,119.0
156,201311080CHI,CHI,1481.9866767483986,2013-11-08,Home,2014,80.2,5.0,73.0,106.6,97.0
157,201311080CHI,UTA,1458.7948579311262,2013-11-08,Away,2014,106.6,6.0,97.0,80.2,73.0
158,201311080MIN,MIN,1510.1673336224655,2013-11-08,Home,2014,112.5,6.0,108.0,120.8,116.0
159,201311080MIN,DAL,1509.3546733115654,2013-11-08,Away,2014,120.8,6.0,116.0,112.5,108.0
160,201311080NOP,NOP,1500.7832036534596,2013-11-08,Home,2014,92.6,6.0,85.0,104.6,96.0
161,201311080NOP,LAL,1481.7131237506148,2013-11-08,Away,2014,104.6,7.0,96.0,92.6,85.0
162,201311080SAS,SAS,1522.193725239039,2013-11-08,Home,2014,85.2,6.0,74.0,87.6,76.0
163,201311080SAS,GSW,1551.408894054006,2013-11-08,Away,2014,87.6,6.0,76.0,85.2,74.0
164,201311080PHO,PHO,1511.4493362595592,2013-11-08,Home,2014,99.4,6.0,103.0,110.1,114.0
165,201311080PHO,DEN,1472.8819863563074,2013-11-08,Away,2014,110.1,5.0,114.0,99.4,103.0
166,201311080POR,POR,1499.133229082924,2013-11-08,Home,2014,99.3,5.0,91.0,113.5,104.0
167,201311080POR,SAC,1475.0862072567152,2013-11-08,Away,2014,113.5,5.0,104.0,99.3,91.0
168,201311090TOR,TOR,1488.9694143864847,2013-11-09,Home,2014,102.6,7.0,91.0,129.7,115.0
169,201311090TOR,UTA,1446.3608470346635,2013-11-09,Away,2014,129.7,7.0,115.0,102.6,91.0
170,201311090ATL,ATL,1499.910197032942,2013-11-09,Home,2014,96.8,6.0,94.0,107.0,104.0
171,201311090ATL,ORL,1512.4251488823138,2013-11-09,Away,2014,107.0,7.0,104.0,96.8,94.0
172,201311090BRK,BRK,1491.13887047333,2013-11-09,Home,2014,107.7,6.0,96.0,102.1,91.0
173,201311090BRK,IND,1550.2299614515011,2013-11-09,Away,2014,102.1,7.0,91.0,107.7,96.0
174,201311090CLE,CLE,1477.436205239163,2013-11-09,Home,2014,108.4,7.0,125.0,110.2,127.0
175,201311090CLE,PHI,1491.0082689748056,2013-11-09,Away,2014,110.2,7.0,127.0,108.4,125.0
176,201311090MIA,MIA,1525.208152423752,2013-11-09,Home,2014,121.3,7.0,111.0,120.2,110.0
177,201311090MIA,BOS,1485.112872147707,2013-11-09,Away,2014,120.2,7.0,110.0,121.3,111.0
178,201311090HOU,HOU,1526.975218064761,2013-11-09,Home,2014,112.8,7.0,107.0,99.1,94.0
179,201311090HOU,LAC,1512.72822667526,2013-11-09,Away,2014,99.1,7.0,94.0,112.8,107.0
180,201311090MEM,MEM,1477.964810211394,2013-11-09,Home,2014,94.3,6.0,90.0,113.2,108.0
181,201311090MEM,GSW,1547.345848180032,2013-11-09,Away,2014,113.2,7.0,108.0,94.3,90.0
182,201311090MIL,MIL,1498.817414531437,2013-11-09,Home,2014,97.6,5.0,91.0,89.0,83.0
183,201311090MIL,DAL,1502.64904225005,2013-11-09,Away,2014,89.0,7.0,83.0,97.6,91.0
184,201311090SAC,SAC,1466.9370550438432,2013-11-09,Home,2014,115.4,6.0,96.0,102.2,85.0
185,201311090SAC,POR,1507.2823812957959,2013-11-09,Away,2014,102.2,6.0,85.0,115.4,96.0
186,201311100NYK,NYK,1495.8160549036963,2013-11-10,Home,2014,129.9,6.0,120.0,96.3,89.0
187,201311100NYK,SAS,1526.256771113013,2013-11-10,Away,2014,96.3,7.0,89.0,129.9,120.0
188,201311100OKC,OKC,1524.059327807281,2013-11-10,Home,2014,103.2,6.0,105.0,104.2,106.0
189,201311100OKC,WAS,1496.6688226893034,2013-11-10,Away,2014,104.2,6.0,106.0,103.2,105.0
